搜索内容：远程 软件,生成时间：2026-06-12 18:28:26,投递总数：78,完成城市：北京/上海/广州/深圳/杭州/天津/西安/苏州/武汉/厦门/长沙/成都
序号,公司,职位,城市,投递时间
1,夏尔投资,量化研究员【远程】,北京,2026-06-12 13:49:33
2,上海某小型互联网金融公司,大数据总监（远程办公）,北京,2026-06-12 13:49:52
3,某国内知名互联网金融公司,ai架构工程师（可远程）,北京,2026-06-12 13:50:18
4,慧科讯业,爬虫实习生-可远程,北京,2026-06-12 13:50:47
5,梦塔科技,AI / 后端工程师（可远程）,北京,2026-06-12 13:51:18
6,北京五十步电子商务,python量化研究员远程,北京,2026-06-12 13:53:54
7,英悦芯瑞,研发项目经理（远程）,北京,2026-06-12 13:54:23
8,北京白小杨商贸中...,pg数据开发工程师远程全职支持,北京,2026-06-12 13:54:38
9,码城科技,ai智能体开发工程师 （远程）,北京,2026-06-12 14:03:29
10,软通动力,英语技术支持-后续可远程-27届,上海,2026-06-12 14:04:02
11,上海高仙,远程部署实习生,上海,2026-06-12 14:05:03
12,某大型互联网公司,【远程居家办公】后端专家,上海,2026-06-12 14:05:21
13,MobTech,JAVA高级架构师（可远程）,上海,2026-06-12 14:05:37
14,时代传浮,ML Engineer-远程办公,上海,2026-06-12 14:06:44
15,南通无维科技,软件工程师【兼职、实习】,上海,2026-06-12 14:07:45
16,法本,AI开发  半居家 六险一金 远程面试,上海,2026-06-12 14:09:03
17,瓴羊科技,API运营支持专员（远程办公）,上海,2026-06-12 14:09:35
18,某中型计算机服务公司,可远程-Applied AI Engineer,上海,2026-06-12 14:10:08
19,某知名互联网公司,合约测试开发（远程办公）,上海,2026-06-12 14:10:35
20,浦城科盐教育科技,远程数据分析师（问卷）,上海,2026-06-12 14:12:42
21,成都创元聚星科技,数据分析师（远程）,上海,2026-06-12 14:12:59
22,彗零信息,演示程序开发，兼职，远程,上海,2026-06-12 14:13:26
23,申仪科技,flutter开发工程师（远程办公）,上海,2026-06-12 14:13:57
24,某互联网公司,CTO(交易所 区块链远程办公）,上海,2026-06-12 14:17:08
25,上海某小型人工智能硬件操作系统融资过亿公司,可远程AI后端研发（AI 应用与全栈支持）,上海,2026-06-12 14:20:16
26,某国内知名互联网金融公司,AI研发工程师（web3远程办公）,上海,2026-06-12 14:20:34
27,深德科,AI开发（远程笔面试--头部基金）,广州,2026-06-12 14:23:14
28,利肯,flutter开发工程师（远程办公）,广州,2026-06-12 14:23:44
29,广州赢升网络科技,远程兼职 MUD文字后端开发,广州,2026-06-12 14:24:12
30,建广数科,Java（远程面试）,广州,2026-06-12 14:30:44
31,MobTech,游戏数据分析师(可远程）,广州,2026-06-12 14:34:10
32,深圳某大型互联网上市公司,web3-风控开发-远程,深圳,2026-06-12 14:39:17
33,某大型互联网金融公司,支付测试开发（远程）,深圳,2026-06-12 14:39:47
34,上海智纳芯科技,高级Java开发（远程办公）,深圳,2026-06-12 14:40:06
35,英悦芯瑞,Java开发工程师-远程办公,深圳,2026-06-12 14:40:36
36,某跨国大型电子商务公司,支付后端架构（远程）,深圳,2026-06-12 14:44:39
37,中软国际,模型  双休远程面试,深圳,2026-06-12 14:49:31
38,杭州智链游戏开发,【远程兼职】游戏特效,深圳,2026-06-12 14:50:55
39,杭州新生纪智能科技,远程运维工程师,杭州,2026-06-12 14:58:15
40,某大型知名互联网公司,大模型负责人（金融科技/区块链）-远程办公,杭州,2026-06-12 14:58:34
41,某小型计算机软件公司,系统工程师-远程,杭州,2026-06-12 14:59:42
42,北京某大型互联网出行平台公司,调度高级开发工程师-远程居家办公,杭州,2026-06-12 15:00:07
43,杭州新生纪智能科技,远程运维,杭州,2026-06-12 15:03:55
44,杭州青远企业服务,AI Agent开发实习生（可远程）,杭州,2026-06-12 15:04:38
45,标博,技术经理 - 全职远程,杭州,2026-06-12 15:05:10
46,猿圈圈智能,AI开发工程师（可远程开发）,杭州,2026-06-12 15:10:52
47,深圳邦汇,远程生信分析数据工程师,天津,2026-06-12 15:18:54
48,西安哎呀沁娅电子科技,资深全栈开发工程师（可兼职可远程）,西安,2026-06-12 15:34:24
49,西安灰猫智能技术,Python软件工程师｜90%远程｜双休不加班,西安,2026-06-12 15:36:18
50,智乐活,【远程支持】月薪15K+五险一金+管理,西安,2026-06-12 15:37:36
51,纯粹元素,全栈开发工程师（远程办公，base西安）,西安,2026-06-12 15:39:46
52,西安灰猫智能技术,python软件工程师｜远程双休不加班,西安,2026-06-12 15:42:20
53,MOJOFOX,可远程办公-安卓游戏自动化脚本开发,西安,2026-06-12 15:47:08
54,魔方网表,远程兼职｜前端开发项目经理,苏州,2026-06-12 15:50:37
55,极目行远,远程技术工程师,苏州,2026-06-12 15:51:38
56,数智云信息,远程软件工程师,苏州,2026-06-12 15:53:23
57,蓝点呼吸,全栈开发兼职 (远程环境搭建),苏州,2026-06-12 15:54:27
58,长亮科技,Java-远程面试-全额社保公积金-需社保,苏州,2026-06-12 15:55:32
59,软通动力,苏州-软件测试工程师-远程面试,苏州,2026-06-12 15:57:48
60,苏州泽行辰悦智能科技,法律知识工程师(可远程),苏州,2026-06-12 15:59:35
61,畅悦智能科技,程序设计师（远程办公）,苏州,2026-06-12 16:00:30
62,京东工品汇,全栈产品研发工程师（外包/项目制/可远程）,苏州,2026-06-12 16:03:04
63,魔方网表,远程兼职｜内部平台产品开发项目经理,武汉,2026-06-12 16:09:06
64,广州奥拉帕迪科技,Golang（远程居家办公）,武汉,2026-06-12 16:09:23
65,海南阖家乐电子竞技,量化开发工程师【可居家/远程】,厦门,2026-06-12 16:37:37
66,智乐活,ios实习【远程办公/27届及以上/实习证明】,厦门,2026-06-12 16:40:51
67,漳州市中金盛世商贸,软件开发,厦门,2026-06-12 16:49:03
68,时代电服科技有限公司,远程运维工程师 (MJ040548),厦门,2026-06-12 16:50:34
69,长沙市焰流科技,高级JAVA开发（远程）,长沙,2026-06-12 17:22:46
70,触海科技,远程岗位：AI 产品工程师,长沙,2026-06-12 17:26:03
71,某大型基金公司,量化策略（远程）,长沙,2026-06-12 17:35:27
72,流动方舟,golang架构师（远程）,成都,2026-06-12 17:47:39
73,成都追曜信息科技,大模型应用工程师（兼职/远程）,成都,2026-06-12 17:48:20
74,成华区柒分站图文...,资深后端架构师（可远程办公）,成都,2026-06-12 17:53:49
75,领职,Golang-全职远程,成都,2026-06-12 17:56:18
76,乐兔未来,大数据开发工程师（远程）,成都,2026-06-12 18:01:21
77,拓维云创,Java开发工程师（双休+远程面试）,成都,2026-06-12 18:04:34
78,郑州熵灵科技有限公司,线上兼职可远程办公,郑州,2026-06-12 18:18:35
